x,w_analytical,M_analytical
0.000000000000000000e+00,-0.000000000000000000e+00,-5.000000000000000000e+02
1.001001001001000992e-03,-1.431050278206519757e-07,-4.989995000005010297e+02
2.002002002002001985e-03,-5.720381478296076604e-07,-4.980000020040059781e+02
3.003003003003002977e-03,-1.286226845309560407e-06,-4.970015060105150155e+02
4.004004004004003969e-03,-2.285099179492794061e-06,-4.960040120200280285e+02
5.005005005005004962e-03,-3.568083783561184656e-06,-4.950075200325450737e+02
6.006006006006005954e-03,-5.134609864646199034e-06,-4.940120300480660376e+02
7.007007007007006946e-03,-6.984107203828895167e-06,-4.930175420665910906e+02
8.008008008008007939e-03,-9.116006156139922577e-06,-4.920240560881201759e+02
9.009009009009008931e-03,-1.152973765055952361e-05,-4.910315721126532367e+02
1.001001001001000992e-02,-1.422473319001752835e-05,-4.900400901401902161e+02
1.101101101101101092e-02,-1.720042485139335886e-05,-4.890496101707312846e+02
1.201201201201201191e-02,-2.045624528551604187e-05,-4.880601322042763286e+02
1.301301301301301290e-02,-2.399162771716415460e-05,-4.870716562408254049e+02
1.401401401401401389e-02,-2.780600594506593316e-05,-4.860841822803784567e+02
1.501501501501501488e-02,-3.189881434189913530e-05,-4.850977103229355407e+02
1.601601601601601588e-02,-3.626948785429114552e-05,-4.841122403684966571e+02
1.701701701701701513e-02,-4.091746200281894450e-05,-4.831277724170617489e+02
1.801801801801801786e-02,-4.584217288200910235e-05,-4.821443064686307594e+02
1.901901901901902059e-02,-5.104305716033776170e-05,-4.811618425232038589e+02
2.002002002002001985e-02,-5.651955208023065120e-05,-4.801803805807809908e+02
2.102102102102101910e-02,-6.227109545806311266e-05,-4.791999206413620982e+02
2.202202202202202183e-02,-6.829712568416011461e-05,-4.782204627049471810e+02
2.302302302302302456e-02,-7.459708172279615060e-05,-4.772420067715362961e+02
2.402402402402402382e-02,-8.117040311219531382e-05,-4.762645528411294436e+02
2.502502502502502307e-02,-8.801652996453127671e-05,-4.752881009137265664e+02
2.602602602602602580e-02,-9.513490296592741295e-05,-4.743126509893276648e+02
2.702702702702702853e-02,-1.025249633764565942e-04,-4.733382030679327954e+02
2.802802802802802778e-02,-1.101861530301411900e-04,-4.723647571495419584e+02
2.902902902902902704e-02,-1.181179143349534068e-04,-4.713923132341550968e+02
3.003003003003002977e-02,-1.263196902728148268e-04,-4.704208713217722106e+02
3.103103103103103250e-02,-1.347909243995966931e-04,-4.694504314123933568e+02
3.203203203203203175e-02,-1.435310608451198684e-04,-4.684809935060185353e+02
3.303303303303303101e-02,-1.525395443131547814e-04,-4.675125576026477461e+02
3.403403403403403027e-02,-1.618158200814214399e-04,-4.665451237022808186e+02
3.503503503503503647e-02,-1.713593340015895394e-04,-4.655786918049180372e+02
3.603603603603603572e-02,-1.811695324992781378e-04,-4.646132619105592312e+02
3.703703703703703498e-02,-1.912458625740561977e-04,-4.636488340192043438e+02
3.803803803803804118e-02,-2.015877717994419627e-04,-4.626854081308535456e+02
3.903903903903904044e-02,-2.121947083229034996e-04,-4.617229842455067796e+02
4.004004004004003969e-02,-2.230661208658582919e-04,-4.607615623631639892e+02
4.104104104104103895e-02,-2.342014587236736461e-04,-4.598011424838251742e+02
4.204204204204203821e-02,-2.456001717656660960e-04,-4.588417246074903346e+02
4.304304304304304440e-02,-2.572617104351022964e-04,-4.578833087341595842e+02
4.404404404404404366e-02,-2.691855257491978853e-04,-4.569258948638328093e+02
4.504504504504504292e-02,-2.813710692991185135e-04,-4.559694829965100098e+02
4.604604604604604912e-02,-2.938177932499794111e-04,-4.550140731321912426e+02
4.704704704704704837e-02,-3.065251503408451166e-04,-4.540596652708765077e+02
4.804804804804804763e-02,-3.194925938847299643e-04,-4.531062594125657483e+02
4.904904904904904689e-02,-3.327195777685978137e-04,-4.521538555572589644e+02
5.005005005005004615e-02,-3.462055564533622122e-04,-4.512024537049562127e+02
5.105105105105105234e-02,-3.599499849738863402e-04,-4.502520538556574365e+02
5.205205205205205160e-02,-3.739523189389826869e-04,-4.493026560093627495e+02
5.305305305305305086e-02,-3.882120145314135913e-04,-4.483542601660719811e+02
5.405405405405405705e-02,-4.027285285078909720e-04,-4.474068663257852450e+02
5.505505505505505631e-02,-4.175013181990759473e-04,-4.464604744885025411e+02
5.605605605605605557e-02,-4.325298415095798652e-04,-4.455150846542238128e+02
5.705705705705705483e-02,-4.478135569179633822e-04,-4.445706968229490599e+02
5.805805805805805409e-02,-4.633519234767365168e-04,-4.436273109946783393e+02
5.905905905905906028e-02,-4.791444008123591923e-04,-4.426849271694116510e+02
6.006006006006005954e-02,-4.951904491252407487e-04,-4.417435453471489950e+02
6.106106106106105880e-02,-5.114895291897401594e-04,-4.408031655278902576e+02
6.206206206206206499e-02,-5.280411023541660854e-04,-4.398637877116355526e+02
6.306306306306305731e-02,-5.448446305407764418e-04,-4.389254118983848798e+02
6.406406406406406351e-02,-5.618995762457795360e-04,-4.379880380881381825e+02
6.506506506506506970e-02,-5.792054025393322250e-04,-4.370516662808955175e+02
6.606606606606606202e-02,-5.967615730655414326e-04,-4.361162964766568280e+02
6.706706706706706822e-02,-6.145675520424641498e-04,-4.351819286754221707e+02
6.806806806806806054e-02,-6.326228042621059172e-04,-4.342485628771915458e+02
6.906906906906906674e-02,-6.509267950904231012e-04,-4.333161990819648395e+02
7.007007007007007293e-02,-6.694789904673205090e-04,-4.323848372897421655e+02
7.107107107107106525e-02,-6.882788569066532322e-04,-4.314544775005235806e+02
7.207207207207207145e-02,-7.073258614962257785e-04,-4.305251197143089144e+02
7.307307307307307764e-02,-7.266194718977921812e-04,-4.295967639310982236e+02
7.407407407407406996e-02,-7.461591563470558897e-04,-4.286694101508916219e+02
7.507507507507507616e-02,-7.659443836536704211e-04,-4.277430583736889957e+02
7.607607607607608236e-02,-7.859746232012389255e-04,-4.268177085994903450e+02
7.707707707707707467e-02,-8.062493449473132111e-04,-4.258933608282957266e+02
7.807807807807808087e-02,-8.267680194233956951e-04,-4.249700150601051405e+02
7.907907907907907319e-02,-8.475301177349378861e-04,-4.240476712949185298e+02
8.008008008008007939e-02,-8.685351115613413600e-04,-4.231263295327359515e+02
8.108108108108108558e-02,-8.897824731559565671e-04,-4.222059897735573486e+02
8.208208208208207790e-02,-9.112716753460838081e-04,-4.212866520173827212e+02
8.308308308308308410e-02,-9.330021915329733424e-04,-4.203683162642121829e+02
