x,w_clean,w_noisy
9.417735040187835693e-02,-1.189850387163460255e-03,-4.874287638813257217e-03
1.281136274337768555e-01,-2.151742577552795410e-03,-5.706287338398396969e-04
3.707980215549468994e-01,-1.524240802973508835e-02,-1.935386285185813904e-02
4.388784468173980713e-01,-2.035692706704139709e-02,-1.659034565091133118e-02
4.434142112731933594e-01,-2.071364782750606537e-02,-2.092771790921688080e-02
4.503859281539916992e-01,-2.126549184322357178e-02,-2.205813676118850708e-02
6.438651084899902344e-01,-3.790913522243499756e-02,-4.082879796624183655e-02
6.973680257797241211e-01,-4.282332211732864380e-02,-3.758136183023452759e-02
7.611396908760070801e-01,-4.877698794007301331e-02,-4.943957179784774780e-02
7.739560604095458984e-01,-4.998273029923439026e-02,-5.181929469108581543e-02
7.860643267631530762e-01,-5.112406983971595764e-02,-5.263392999768257141e-02
8.227615952491760254e-01,-5.459405854344367981e-02,-5.231164395809173584e-02
8.585979342460632324e-01,-5.799442157149314880e-02,-5.642748624086380005e-02
9.267649650573730469e-01,-6.448028236627578735e-02,-6.271059066057205200e-02
9.756223559379577637e-01,-6.913455575704574585e-02,-6.728729605674743652e-02
