x,w_analytical,M_analytical
0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.001001001001000992e-03,-2.384284656703136379e-05,4.999994989984980487e-01
2.002002002002001985e-03,-4.768540678104581343e-05,9.989969949929911053e-01
3.003003003003002977e-03,-7.152739481514686548e-05,1.496992487983478837e+00
4.004004004004003969e-03,-9.536852541638768355e-05,1.993985977969962020e+00
5.005005005005004962e-03,-1.192085139057709665e-04,2.489977464952439767e+00
6.006006006006005954e-03,-1.430470761782490533e-04,2.984966948930912967e+00
7.007007007007006946e-03,-1.668839287027238489e-04,3.478954429905380952e+00
8.008008008008007939e-03,-1.907187885220468237e-04,3.971939907875844167e+00
9.009009009009008931e-03,-2.145513732530190682e-04,4.463923382842302168e+00
1.001001001001000992e-02,-2.383814010863912522e-04,4.954904854804754955e+00
1.101101101101101092e-02,-2.622085907868637058e-04,5.444884323763202971e+00
1.201201201201201191e-02,-2.860326616930861489e-04,5.933861789717645330e+00
1.301301301301301290e-02,-3.098533337176582873e-04,6.421837252668083806e+00
1.401401401401401389e-02,-3.336703273471288908e-04,6.908810712614516625e+00
1.501501501501501488e-02,-3.574833636419967424e-04,7.394782169556944673e+00
1.601601601601601588e-02,-3.812921642367100958e-04,7.879751623495367951e+00
1.701701701701701513e-02,-4.050964513396666214e-04,8.363719074429784683e+00
1.801801801801801786e-02,-4.288959477332139484e-04,8.846684522360197533e+00
1.901901901901902059e-02,-4.526903767736488514e-04,9.328647967286606502e+00
2.002002002002001985e-02,-4.764794623912180097e-04,9.809609409209008035e+00
2.102102102102101910e-02,-5.002629290901176818e-04,1.028956884812740746e+01
2.202202202202202183e-02,-5.240405019484936514e-04,1.076852628404179946e+01
2.302302302302302456e-02,-5.478119066184411728e-04,1.124648171695218757e+01
2.402402402402402382e-02,-5.715768693260050255e-04,1.172343514685857002e+01
2.502502502502502307e-02,-5.953351168711802730e-04,1.219938657376094682e+01
2.602602602602602580e-02,-6.190863766279106365e-04,1.267433599765932151e+01
2.702702702702702853e-02,-6.428303765440900128e-04,1.314828341855369054e+01
2.802802802802802778e-02,-6.665668451415614985e-04,1.362122883644405213e+01
2.902902902902902704e-02,-6.902955115161182572e-04,1.409317225133040807e+01
3.003003003003002977e-02,-7.140161053375028693e-04,1.456411366321276191e+01
3.103103103103103250e-02,-7.377283568494073318e-04,1.503405307209111186e+01
3.203203203203203175e-02,-7.614319968694729501e-04,1.550299047796545437e+01
3.303303303303303101e-02,-7.851267567892915300e-04,1.597092588083578768e+01
3.403403403403403027e-02,-8.088123685744036439e-04,1.643785928070212066e+01
