x,w_clean,w_noisy
9.417735040187835693e-02,-2.205297118052840233e-03,-2.652196446433663368e-03
1.281136274337768555e-01,-2.957791090011596680e-03,-2.766011748462915421e-03
3.707980215549468994e-01,-6.853668484836816788e-03,-7.352362386882305145e-03
4.388784468173980713e-01,-7.310309447348117828e-03,-6.853446364402770996e-03
4.434142112731933594e-01,-7.329296786338090897e-03,-7.355262059718370438e-03
4.503859281539916992e-01,-7.355649955570697784e-03,-7.451793178915977478e-03
6.438651084899902344e-01,-6.714176386594772339e-03,-7.068313192576169968e-03
6.973680257797241211e-01,-6.087821442633867264e-03,-5.452003795653581619e-03
7.611396908760070801e-01,-5.117749329656362534e-03,-5.198116879910230637e-03
7.739560604095458984e-01,-4.896122962236404419e-03,-5.118886940181255341e-03
7.860643267631530762e-01,-4.679191391915082932e-03,-4.862328525632619858e-03
8.227615952491760254e-01,-3.979921806603670120e-03,-3.703079419210553169e-03
8.585979342460632324e-01,-3.242900129407644272e-03,-3.052840474992990494e-03
9.267649650573730469e-01,-1.726362039335072041e-03,-1.511708833277225494e-03
9.756223559379577637e-01,-5.799707723781466484e-04,-3.559100732672959566e-04
